Zip ,Income,% bachelors degree,Families,Gender,<5,5--9,10--14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Male,Female,Total,,Income-Cutoff,Education-Cutoff,Families-Cutoff,,Multi-Criteria Cutoff,,Sample per zip
45202,"$87,930",62.3,9410,Male,343,243,221,284,909,"1,716","1,344",879,503,414,493,581,517,378,251,108,63,32,9279,,,,1,1,1,,3,,3405
,,,,Female,316,231,200,260,794,"1,424",968,624,389,349,387,472,439,281,211,144,67,48,,7604,,,,,,,,,0
,,,,Total,659,474,421,544,"1,703","3,140","2,312","1,503",892,763,880,"1,053",956,659,462,252,130,80,,,16883,,,,,,,,0
45203,"$33,798",39.9,"1,204",Male,67,84,79,46,87,116,93,65,49,72,67,79,88,52,33,13,14,4,1108,,,,0,0,0,,0,,0
,,,,Female,100,62,64,63,134,128,98,105,70,42,72,90,73,60,35,17,24,20,,1257,,,,,,,,,0
,,,,Total,167,146,143,109,221,244,191,170,119,114,139,169,161,112,68,30,38,24,,,2365,,,,,,,,0
45204,"$30,579",20.98,2422,Male,242,207,235,185,212,214,217,193,185,166,147,213,179,161,65,45,25,23,2914,,,,0,0,0,,0,,0
,,,,Female,241,224,249,156,196,287,232,226,190,166,141,166,158,89,67,52,38,26,,2904,,,,,,,,,0
,,,,Total,483,431,484,341,408,501,449,419,375,332,288,379,337,250,132,97,63,49,,,5818,,,,,,,,0
45205,"$41,357",16.78,"7,334",Male,807,891,895,749,655,709,705,626,568,407,482,557,604,382,217,118,70,68,9510,,,,0,0,0,,0,,0
,,,,Female,811,877,963,723,675,712,842,727,562,514,448,550,587,414,264,153,90,95,,10007,,,,,,,,,0
,,,,Total,"1,618","1,768","1,858","1,472","1,330","1,421","1,547","1,353","1,130",921,930,"1,107","1,191",796,481,271,160,163,,,19517,,,,,,,,0
45206,"$51,128",49.27,"5,692",Male,261,187,191,175,452,704,564,385,239,246,282,356,343,292,210,121,86,62,5156,,,,0,1,0,,1,,0
,,,,Female,269,202,183,223,484,722,619,318,302,227,295,331,346,321,274,166,107,125,,5514,,,,,,,,,0
,,,,Total,530,389,374,398,936,"1,426","1,183",703,541,473,577,687,689,613,484,287,193,187,,,10670,,,,,,,,0
45207,"$41,833",26.36,"2,238",Male,145,177,230,868,585,216,213,171,109,146,122,145,161,105,85,49,21,25,3573,,,,0,0,0,,0,,0
,,,,Female,150,188,217,926,564,191,191,191,153,149,166,177,204,156,100,67,40,81,,3911,,,,,,,,,0
,,,,Total,295,365,447,"1,794","1,149",407,404,362,262,295,288,322,365,261,185,116,61,106,,,7484,,,,,,,,0
45208,"$132,213",82.95,"8,819",Male,601,541,475,439,574,923,857,721,521,467,539,502,433,426,367,262,138,161,8947,,,,1,1,1,,3,,3261
,,,,Female,578,500,459,449,738,"1,127",915,704,515,524,626,535,523,523,457,304,221,324,,10022,,,,,,,,,0
,,,,Total,"1,179","1,041",934,888,"1,312","2,050","1,772","1,425","1,036",991,"1,165","1,037",956,949,824,566,359,485,,,18969,,,,,,,,0
45209,"$87,841",75.16,"6,393",Male,262,129,129,111,530,"1,205",906,482,223,220,182,193,195,195,141,86,42,43,5274,,,,1,1,0,,2,,0
,,,,Female,282,147,82,82,646,"1,229",816,375,205,194,155,236,212,234,195,136,86,122,,5434,,,,,,,,,0
,,,,Total,544,276,211,193,"1,176","2,434","1,722",857,428,414,337,429,407,429,336,222,128,165,,,10708,,,,,,,,0
45211,"$54,582",29.15,"16,537",Male,"1,271","1,350","1,290","1,243","1,150","1,213","1,370","1,303","1,077","1,038","1,131","1,252","1,208",870,623,343,214,194,18140,,,,0,0,1,,1,,0
,,,,Female,"1,210","1,224","1,300","1,173","1,283","1,517","1,563","1,343","1,257","1,105","1,211","1,305","1,335","1,031",702,444,332,393,,19728,,,,,,,,,0
,,,,Total,"2,481","2,574","2,590","2,416","2,433","2,730","2,933","2,646","2,334","2,143","2,342","2,557","2,543","1,901","1,325",787,546,587,,,37868,,,,,,,,0
45212,"$63,698",38.23,"10,026",Male,684,560,547,561,"1,284","1,154","1,120",803,632,530,583,629,633,492,304,160,112,76,10864,,,,0,0,1,,1,,0
,,,,Female,644,529,531,460,"1,335","1,332","1,121",777,586,511,530,624,669,510,314,228,164,156,,11021,,,,,,,,,0
